Text_Display,Cleansed_Text,Case_Folding,Tokenized_Text,Stopwords,Hasil_Kalimat
Mereka itu gak faham karena gak baca!!!,Mereka itu gak faham karena gak baca,mereka itu gak faham karena gak baca,"['mereka', 'itu', 'gak', 'faham', 'karena', 'gak', 'baca']","['gak', 'faham', 'gak', 'baca']",gak faham gak baca
"<a href=""http://mantab.om/"">Mantab.om</a> ded biar orang orang merasa sok pintar tau bahwa mereka sebenernya bodoh..",a hrefhttpmantabomMantaboma ded biar orang orang merasa sok pintar tau bahwa mereka sebenernya bodoh,a hrefhttpmantabommantaboma ded biar orang orang merasa sok pintar tau bahwa mereka sebenernya bodoh,"['a', 'hrefhttpmantabommantaboma', 'ded', 'biar', 'orang', 'orang', 'merasa', 'sok', 'pintar', 'tau', 'bahwa', 'mereka', 'sebenernya', 'bodoh']","['a', 'hrefhttpmantabommantaboma', 'ded', 'biar', 'orang', 'orang', 'sok', 'pintar', 'tau', 'sebenernya', 'bodoh']",a hrefhttpmantabommantaboma ded biar orang orang sok pintar tau sebenernya bodoh
Undang Ust. Kainama,Undang Ust Kainama,undang ust kainama,"['undang', 'ust', 'kainama']","['undang', 'ust', 'kainama']",undang ust kainama
"Gk ada yang urusin km ded, km cm nyari duit dengan gaya lebay pakai emosi biar org simpati dan nonton youtube km",Gk ada yang urusin km ded km cm nyari duit dengan gaya lebay pakai emosi biar org simpati dan nonton youtube km,gk ada yang urusin km ded km cm nyari duit dengan gaya lebay pakai emosi biar org simpati dan nonton youtube km,"['gk', 'ada', 'yang', 'urusin', 'km', 'ded', 'km', 'cm', 'nyari', 'duit', 'dengan', 'gaya', 'lebay', 'pakai', 'emosi', 'biar', 'org', 'simpati', 'dan', 'nonton', 'youtube', 'km']","['gk', 'urusin', 'km', 'ded', 'km', 'cm', 'nyari', 'duit', 'gaya', 'lebay', 'pakai', 'emosi', 'biar', 'org', 'simpati', 'nonton', 'youtube', 'km']",gk urusin km ded km cm nyari duit gaya lebay pakai emosi biar org simpati nonton youtube km
Zionis dan para simpatisannya mendukung genosida. pendukung genosida bukan manusia 🤔,Zionis dan para simpatisannya mendukung genosida pendukung genosida bukan manusia ,zionis dan para simpatisannya mendukung genosida pendukung genosida bukan manusia ,"['zionis', 'dan', 'para', 'simpatisannya', 'mendukung', 'genosida', 'pendukung', 'genosida', 'bukan', 'manusia']","['zionis', 'simpatisannya', 'mendukung', 'genosida', 'pendukung', 'genosida', 'manusia']",zionis simpatisannya mendukung genosida pendukung genosida manusia
"Om Ded, Syahrini membahas Kristen itu salah kamar engga? Koq anda mingkem aja engga koar2 😂",Om Ded Syahrini membahas Kristen itu salah kamar engga Koq anda mingkem aja engga koar ,om ded syahrini membahas kristen itu salah kamar engga koq anda mingkem aja engga koar ,"['om', 'ded', 'syahrini', 'membahas', 'kristen', 'itu', 'salah', 'kamar', 'engga', 'koq', 'anda', 'mingkem', 'aja', 'engga', 'koar']","['om', 'ded', 'syahrini', 'membahas', 'kristen', 'salah', 'kamar', 'engga', 'koq', 'mingkem', 'aja', 'engga', 'koar']",om ded syahrini membahas kristen salah kamar engga koq mingkem aja engga koar
Kadang yg ilmunya msih dangkal sok bisa bicara tpi tidak tau fakta dan ilmunya ....,Kadang yg ilmunya msih dangkal sok bisa bicara tpi tidak tau fakta dan ilmunya ,kadang yg ilmunya msih dangkal sok bisa bicara tpi tidak tau fakta dan ilmunya ,"['kadang', 'yg', 'ilmunya', 'msih', 'dangkal', 'sok', 'bisa', 'bicara', 'tpi', 'tidak', 'tau', 'fakta', 'dan', 'ilmunya']","['kadang', 'yg', 'ilmunya', 'msih', 'dangkal', 'sok', 'bicara', 'tpi', 'tau', 'fakta', 'ilmunya']",kadang yg ilmunya msih dangkal sok bicara tpi tau fakta ilmunya
Kira wanita ternyata pria anjirrrr😅,Kira wanita ternyata pria anjirrrr,kira wanita ternyata pria anjirrrr,"['kira', 'wanita', 'ternyata', 'pria', 'anjirrrr']","['wanita', 'pria', 'anjirrrr']",wanita pria anjirrrr
BUNG  DEDI<br>SKRANG LO BICARA PELESTINA<br>KLO PAPUA YG LG FIRAL INGIN MERDEKA ???,BUNG  DEDIbrSKRANG LO BICARA PELESTINAbrKLO PAPUA YG LG FIRAL INGIN MERDEKA ,bung  dedibrskrang lo bicara pelestinabrklo papua yg lg firal ingin merdeka ,"['bung', 'dedibrskrang', 'lo', 'bicara', 'pelestinabrklo', 'papua', 'yg', 'lg', 'firal', 'ingin', 'merdeka']","['dedibrskrang', 'lo', 'bicara', 'pelestinabrklo', 'papua', 'yg', 'lg', 'firal', 'merdeka']",dedibrskrang lo bicara pelestinabrklo papua yg lg firal merdeka
Coba om bicara seperti ini terhadap teman mayoritas yg suka bicarain agama lain Yg merendahkan,Coba om bicara seperti ini terhadap teman mayoritas yg suka bicarain agama lain Yg merendahkan,coba om bicara seperti ini terhadap teman mayoritas yg suka bicarain agama lain yg merendahkan,"['coba', 'om', 'bicara', 'seperti', 'ini', 'terhadap', 'teman', 'mayoritas', 'yg', 'suka', 'bicarain', 'agama', 'lain', 'yg', 'merendahkan']","['coba', 'om', 'bicara', 'teman', 'mayoritas', 'yg', 'suka', 'bicarain', 'agama', 'yg', 'merendahkan']",coba om bicara teman mayoritas yg suka bicarain agama yg merendahkan
"Itu sh Indah G kata aj Sperti Pride Indonesia, tapi ngomong pake bahasa Inggris<br>Klw Papua msih gtu² aj pdahal bantuan nya sdah bnyk gtu<br>Yah Manajemen yg ngurus dana sebesar itu yg harus d&#39;pertanyakan",Itu sh Indah G kata aj Sperti Pride Indonesia tapi ngomong pake bahasa InggrisbrKlw Papua msih gtu aj pdahal bantuan nya sdah bnyk gtubrYah Manajemen yg ngurus dana sebesar itu yg harus dpertanyakan,itu sh indah g kata aj sperti pride indonesia tapi ngomong pake bahasa inggrisbrklw papua msih gtu aj pdahal bantuan nya sdah bnyk gtubryah manajemen yg ngurus dana sebesar itu yg harus dpertanyakan,"['itu', 'sh', 'indah', 'g', 'kata', 'aj', 'sperti', 'pride', 'indonesia', 'tapi', 'ngomong', 'pake', 'bahasa', 'inggrisbrklw', 'papua', 'msih', 'gtu', 'aj', 'pdahal', 'bantuan', 'nya', 'sdah', 'bnyk', 'gtubryah', 'manajemen', 'yg', 'ngurus', 'dana', 'sebesar', 'itu', 'yg', 'harus', 'dpertanyakan']","['sh', 'indah', 'g', 'aj', 'sperti', 'pride', 'indonesia', 'ngomong', 'pake', 'bahasa', 'inggrisbrklw', 'papua', 'msih', 'gtu', 'aj', 'pdahal', 'bantuan', 'nya', 'sdah', 'bnyk', 'gtubryah', 'manajemen', 'yg', 'ngurus', 'dana', 'yg', 'dpertanyakan']",sh indah g aj sperti pride indonesia ngomong pake bahasa inggrisbrklw papua msih gtu aj pdahal bantuan nya sdah bnyk gtubryah manajemen yg ngurus dana yg dpertanyakan
Cewek pengen laki atw laki pengen cewek😅😅😅,Cewek pengen laki atw laki pengen cewek,cewek pengen laki atw laki pengen cewek,"['cewek', 'pengen', 'laki', 'atw', 'laki', 'pengen', 'cewek']","['cewek', 'pengen', 'laki', 'atw', 'laki', 'pengen', 'cewek']",cewek pengen laki atw laki pengen cewek
Usir j manusia ke gitu,Usir j manusia ke gitu,usir j manusia ke gitu,"['usir', 'j', 'manusia', 'ke', 'gitu']","['usir', 'j', 'manusia', 'gitu']",usir j manusia gitu
Psti oten yg rata2 tebar  kbencian ...doktrin dn dogma nyata di sampaikn,Psti oten yg rata tebar  kbencian doktrin dn dogma nyata di sampaikn,psti oten yg rata tebar  kbencian doktrin dn dogma nyata di sampaikn,"['psti', 'oten', 'yg', 'rata', 'tebar', 'kbencian', 'doktrin', 'dn', 'dogma', 'nyata', 'di', 'sampaikn']","['psti', 'oten', 'yg', 'tebar', 'kbencian', 'doktrin', 'dn', 'dogma', 'nyata', 'sampaikn']",psti oten yg tebar kbencian doktrin dn dogma nyata sampaikn
Dari video ini dapat diambil kesimpulan bahwa om deddy gak pernah menjelajahi channel youtube yg berkaitan dengan agama.<br><br>Padahal agama islam paling sering membahas agama lain 😂<br><br>Dia belom nonton saja betapa lebih parah nya kalau agama islam membahas agama kristen 😬<br><br>Padahal yg disampaikan elia itu fakta sejarah.<br>Bantah saja kalau bisa 😂,Dari video ini dapat diambil kesimpulan bahwa om deddy gak pernah menjelajahi channel youtube yg berkaitan dengan agamabrbrPadahal agama islam paling sering membahas agama lain brbrDia belom nonton saja betapa lebih parah nya kalau agama islam membahas agama kristen brbrPadahal yg disampaikan elia itu fakta sejarahbrBantah saja kalau bisa ,dari video ini dapat diambil kesimpulan bahwa om deddy gak pernah menjelajahi channel youtube yg berkaitan dengan agamabrbrpadahal agama islam paling sering membahas agama lain brbrdia belom nonton saja betapa lebih parah nya kalau agama islam membahas agama kristen brbrpadahal yg disampaikan elia itu fakta sejarahbrbantah saja kalau bisa ,"['dari', 'video', 'ini', 'dapat', 'diambil', 'kesimpulan', 'bahwa', 'om', 'deddy', 'gak', 'pernah', 'menjelajahi', 'channel', 'youtube', 'yg', 'berkaitan', 'dengan', 'agamabrbrpadahal', 'agama', 'islam', 'paling', 'sering', 'membahas', 'agama', 'lain', 'brbrdia', 'belom', 'nonton', 'saja', 'betapa', 'lebih', 'parah', 'nya', 'kalau', 'agama', 'islam', 'membahas', 'agama', 'kristen', 'brbrpadahal', 'yg', 'disampaikan', 'elia', 'itu', 'fakta', 'sejarahbrbantah', 'saja', 'kalau', 'bisa']","['video', 'diambil', 'kesimpulan', 'om', 'deddy', 'gak', 'menjelajahi', 'channel', 'youtube', 'yg', 'berkaitan', 'agamabrbrpadahal', 'agama', 'islam', 'membahas', 'agama', 'brbrdia', 'belom', 'nonton', 'betapa', 'parah', 'nya', 'agama', 'islam', 'membahas', 'agama', 'kristen', 'brbrpadahal', 'yg', 'elia', 'fakta', 'sejarahbrbantah']",video diambil kesimpulan om deddy gak menjelajahi channel youtube yg berkaitan agamabrbrpadahal agama islam membahas agama brbrdia belom nonton betapa parah nya agama islam membahas agama kristen brbrpadahal yg elia fakta sejarahbrbantah
"Free palestina, Amiiin Ya Rob",Free palestina Amiiin Ya Rob,free palestina amiiin ya rob,"['free', 'palestina', 'amiiin', 'ya', 'rob']","['free', 'palestina', 'amiiin', 'ya', 'rob']",free palestina amiiin ya rob
"Inilah yang aku suka dengan Dedyy Corbuzier dari dulu smpai skarang, orangnya pinter, cerdas, jenius menurut saya dan suka menimbah ilmu...<br>Sekarang tambah bijaksana, semoga ke depannya tambah sukses dunia akhirat buat DC aamiin ya Rabbal&#39;alamiin...",Inilah yang aku suka dengan Dedyy Corbuzier dari dulu smpai skarang orangnya pinter cerdas jenius menurut saya dan suka menimbah ilmubrSekarang tambah bijaksana semoga ke depannya tambah sukses dunia akhirat buat DC aamiin ya Rabbalalamiin,inilah yang aku suka dengan dedyy corbuzier dari dulu smpai skarang orangnya pinter cerdas jenius menurut saya dan suka menimbah ilmubrsekarang tambah bijaksana semoga ke depannya tambah sukses dunia akhirat buat dc aamiin ya rabbalalamiin,"['inilah', 'yang', 'aku', 'suka', 'dengan', 'dedyy', 'corbuzier', 'dari', 'dulu', 'smpai', 'skarang', 'orangnya', 'pinter', 'cerdas', 'jenius', 'menurut', 'saya', 'dan', 'suka', 'menimbah', 'ilmubrsekarang', 'tambah', 'bijaksana', 'semoga', 'ke', 'depannya', 'tambah', 'sukses', 'dunia', 'akhirat', 'buat', 'dc', 'aamiin', 'ya', 'rabbalalamiin']","['suka', 'dedyy', 'corbuzier', 'smpai', 'skarang', 'orangnya', 'pinter', 'cerdas', 'jenius', 'suka', 'menimbah', 'ilmubrsekarang', 'bijaksana', 'semoga', 'depannya', 'sukses', 'dunia', 'akhirat', 'dc', 'aamiin', 'ya', 'rabbalalamiin']",suka dedyy corbuzier smpai skarang orangnya pinter cerdas jenius suka menimbah ilmubrsekarang bijaksana semoga depannya sukses dunia akhirat dc aamiin ya rabbalalamiin
nah.. kok ga fair nih pak.. kok cmn Elia nya di senggol.. Dondy Tan ngga ?<br><br>dan msh ad jg sebutan&quot; oten oten ???<br>toleransi kah ?,nah kok ga fair nih pak kok cmn Elia nya di senggol Dondy Tan ngga brbrdan msh ad jg sebutanquot oten oten brtoleransi kah ,nah kok ga fair nih pak kok cmn elia nya di senggol dondy tan ngga brbrdan msh ad jg sebutanquot oten oten brtoleransi kah ,"['nah', 'kok', 'ga', 'fair', 'nih', 'pak', 'kok', 'cmn', 'elia', 'nya', 'di', 'senggol', 'dondy', 'tan', 'ngga', 'brbrdan', 'msh', 'ad', 'jg', 'sebutanquot', 'oten', 'oten', 'brtoleransi', 'kah']","['ga', 'fair', 'nih', 'cmn', 'elia', 'nya', 'senggol', 'dondy', 'tan', 'ngga', 'brbrdan', 'msh', 'ad', 'jg', 'sebutanquot', 'oten', 'oten', 'brtoleransi', 'kah']",ga fair nih cmn elia nya senggol dondy tan ngga brbrdan msh ad jg sebutanquot oten oten brtoleransi kah
"Lho bilang jgn masuk kamar org lain,tpi lho (dady crbsr) sndri yg dluan masuk kamar org lain.mikir lho",Lho bilang jgn masuk kamar org laintpi lho dady crbsr sndri yg dluan masuk kamar org lainmikir lho,lho bilang jgn masuk kamar org laintpi lho dady crbsr sndri yg dluan masuk kamar org lainmikir lho,"['lho', 'bilang', 'jgn', 'masuk', 'kamar', 'org', 'laintpi', 'lho', 'dady', 'crbsr', 'sndri', 'yg', 'dluan', 'masuk', 'kamar', 'org', 'lainmikir', 'lho']","['lho', 'bilang', 'jgn', 'masuk', 'kamar', 'org', 'laintpi', 'lho', 'dady', 'crbsr', 'sndri', 'yg', 'dluan', 'masuk', 'kamar', 'org', 'lainmikir', 'lho']",lho bilang jgn masuk kamar org laintpi lho dady crbsr sndri yg dluan masuk kamar org lainmikir lho
Ni Elia sebenarnya perempuan klo Ndak percaya cek pisiknya 😂😂😂,Ni Elia sebenarnya perempuan klo Ndak percaya cek pisiknya ,ni elia sebenarnya perempuan klo ndak percaya cek pisiknya ,"['ni', 'elia', 'sebenarnya', 'perempuan', 'klo', 'ndak', 'percaya', 'cek', 'pisiknya']","['ni', 'elia', 'perempuan', 'klo', 'ndak', 'percaya', 'cek', 'pisiknya']",ni elia perempuan klo ndak percaya cek pisiknya
"Mereka tidak paham walau lahir di indonesia dan jadi warga NKRI bahwa dari semenjak kita merdeka sudah sangat jelas dalam UUD kita bahwa segala macam bentuk penjajahan dimuka bumi ini harus dihapuskan selama israel masih menjajah maka selama itu pula indonesia tidak akan mengakui mereka,,dan kalian kaum sebelah masih tutup mata.",Mereka tidak paham walau lahir di indonesia dan jadi warga NKRI bahwa dari semenjak kita merdeka sudah sangat jelas dalam UUD kita bahwa segala macam bentuk penjajahan dimuka bumi ini harus dihapuskan selama israel masih menjajah maka selama itu pula indonesia tidak akan mengakui merekadan kalian kaum sebelah masih tutup mata,mereka tidak paham walau lahir di indonesia dan jadi warga nkri bahwa dari semenjak kita merdeka sudah sangat jelas dalam uud kita bahwa segala macam bentuk penjajahan dimuka bumi ini harus dihapuskan selama israel masih menjajah maka selama itu pula indonesia tidak akan mengakui merekadan kalian kaum sebelah masih tutup mata,"['mereka', 'tidak', 'paham', 'walau', 'lahir', 'di', 'indonesia', 'dan', 'jadi', 'warga', 'nkri', 'bahwa', 'dari', 'semenjak', 'kita', 'merdeka', 'sudah', 'sangat', 'jelas', 'dalam', 'uud', 'kita', 'bahwa', 'segala', 'macam', 'bentuk', 'penjajahan', 'dimuka', 'bumi', 'ini', 'harus', 'dihapuskan', 'selama', 'israel', 'masih', 'menjajah', 'maka', 'selama', 'itu', 'pula', 'indonesia', 'tidak', 'akan', 'mengakui', 'merekadan', 'kalian', 'kaum', 'sebelah', 'masih', 'tutup', 'mata']","['paham', 'lahir', 'indonesia', 'warga', 'nkri', 'semenjak', 'merdeka', 'uud', 'bentuk', 'penjajahan', 'dimuka', 'bumi', 'dihapuskan', 'israel', 'menjajah', 'indonesia', 'mengakui', 'merekadan', 'kaum', 'sebelah', 'tutup', 'mata']",paham lahir indonesia warga nkri semenjak merdeka uud bentuk penjajahan dimuka bumi dihapuskan israel menjajah indonesia mengakui merekadan kaum sebelah tutup mata
